"PERIODO","COD_CENCOSUD","COD_PROVEEDOR","DESCRIPCION_PRODUCTO","MARCA","ESTACION","TEMPORADA","ESTADO_PRODUCTO","DIVISION","DEPARTAMENTO","SUBDEPARTAMENTO","CLASE","ESTILO","CATPROVN1","CATPROVN2","CATPROVN3","CATPROVN4","CATPROVN5","COD_LOCAL","DESCRIPCION_LOCAL","FORMATO","TIPO_LOCAL","ESTADO_LOCAL","TIPO","VTA_PERIODO(u)","VTA_PERIODO_COSTO($)","VTA_PERIODO_PUBLICO($)"
2026-03-21,118139006,208P5DP25-C1,P5 BOXER 208DP25C/SURTI/XXL,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P5 BOXER 208DP25C1 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00017,Paris Barros Arana,PARIS,Local,Activo,NO CLASIFICADO,1,12495,14990
2026-03-21,422554003,F186MS26C2,CAMISETA F186MS26/SURTI/M,FOSTER,INVIER,INV26,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,PRIMERAS CAPAS,CAMISETA,CAMISETA F186MS26C2 FST,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,4617,9990
2026-03-21,277848005,F208CP3C25,P3 BOXER ALG 258C/SURTI/XL,FOSTER,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P3 BOXER ALG 258C-C25 FST,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,4995,9990
2026-03-21,122197002,610CP5-C3,P5 SOCKS 610CP5-C/SURTI/TU,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,CONVERTIDORES,CONVERTIDORES,P5 SOCKS 610CP5-C3 TOP TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,2,13990,27979
2026-03-21,376322006,J186M26C1,CAMISETA SPRT 186/NEGRO/XXL,JJO,INVIER,INV26,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,PRIMERAS CAPAS,CAMISETA,CAMISETA SPRT 186MC1 JJO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,6928,14990
2026-03-21,254822004,M170P2C3,PETO E/VIS TOP M1/SURTI/M,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,CORSETERIA,SOSTENES,PACK SOSTEN,PETO E/VIS TOP M170P2C3,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,8495,16990
2026-03-21,742829002,M600SPP5C1,P5 CALCETIN SPRT/SURTI/TU,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,MEDIAS Y CALCETINES,CONVERTIDORES,CONVERTIDORES,P5 CALCETIN SPRT M600SPC1 TO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,2,9992,19980
2026-03-21,439710003,208PKP4-C10,P4 BOXER ALG 208P/SURTI/M,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,BOXER,P4 BOXER ALG 208PK-C10 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,9995,19990
2026-03-21,946036002,610SPP5-C6,P5 CALCETIN SPRT/SURTI/TU,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,CALCETINES,CALCETIN SPORT,P5 CALCETIN SPRT 610SPC6 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,5495,10990
2026-03-21,666152004,L186-C1,CAMIS ALG BLAN C//BLANC/L,LEGACY,INVIER,INV24,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,CAMISETA M/L,CAMIS ALG BLAN C/V 186-C1 LE,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,4617,7990
2026-03-21,745240004,280P2-24,P2 CAMISETA ALG 2/SURTI/L,TOP,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ROPA INTERIOR,CAMISETA S/M,P2 CAMISETA ALG 280P2 TOP,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,6495,9093
2026-03-21,115520002,LEG490-C2,PANTUFLA AZUL490-/AZAB1/M,LEGACY,TODA¥O,S/TEMP,Activo,VESTUARIO,ROPA INTERIOR Y ACC HOMBR,ACCESORIOS,PANTUFLAS,PANTUFLA AZUL490-C2 LEGACY,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,NO CLASIFICADO,00064,Paris Florida Center,PARIS,Local,Activo,NO CLASIFICADO,1,6004,9990
